"nome","tipo","valor"
"Antonio","Telefone celular","+5521985556723"
"Guilherme","Telefone celular","+5527988857776"
"Julieta","Telefone fixo","+553133367957"
"Bartolomeu","Telefone fax","+552733377722"
"Erica","Telefone celular","+5529804630127"
"Erica","Email pessoal","novinha123@cestadecompras.com.br"
"Beatriz","Email pessoal","asdfg@cestadecompras.com.br"
"Antonio","Email profissional","casablanca@cestadecompras.com.br"
"Julieta","Email outro","Jubisk@cestadecompras.com.br"
"Milena","Email pessoal","pink@cestadecompras.com.br"
